Lenght Selection Bubble Insertion Quick
180 16290 16110 8244 1322
180 16290 16110 7887 1324
180 16290 16110 7723 1271
180 16290 16110 7882 1407
180 16290 16110 7539 1688
180 16290 16110 8000 1483
180 16290 16110 8060 1314
180 16290 16110 8428 1318
180 16290 16110 7747 1396
180 16290 16110 7720 1438
180 16290 16110 8869 1243
180 16290 16110 8608 1193
180 16290 16110 7901 1260
180 16290 16110 8376 1330
190 18145 17955 8902 1512
190 18145 17955 8670 1323
190 18145 17955 9272 1599
190 18145 17955 8886 1623
190 18145 17955 9201 1304
190 18145 17955 9152 1515
190 18145 17955 9406 1389
190 18145 17955 8284 1383
190 18145 17955 9562 1382
190 18145 17955 8936 1565
190 18145 17955 8799 1577
190 18145 17955 9538 1503
190 18145 17955 9073 1451
190 18145 17955 9206 1339
190 18145 17955 9457 1378
200 20100 19900 10010 1371
200 20100 19900 9842 1565
200 20100 19900 10156 1489
200 20100 19900 10481 1519
200 20100 19900 9551 1529
200 20100 19900 9415 1534
200 20100 19900 10695 1643
200 20100 19900 9876 1443
200 20100 19900 10006 1564
200 20100 19900 10350 1907
200 20100 19900 9653 1667
200 20100 19900 10111 1501
200 20100 19900 10539 1529
200 20100 19900 10703 1571
200 20100 19900 10549 1606
210 22155 21945 10392 1656
210 22155 21945 10728 1673
210 22155 21945 10586 1741
210 22155 21945 11323 1708
210 22155 21945 10532 1497
210 22155 21945 11481 1505
210 22155 21945 10618 1651
210 22155 21945 10705 1537
210 22155 21945 10844 1604
210 22155 21945 9495 1451
210 22155 21945 11069 1683
210 22155 21945 11221 1600
210 22155 21945 11630 1751
210 22155 21945 11068 1625
210 22155 21945 11933 1632
220 24310 24090 12310 1779
220 24310 24090 12841 1734
220 24310 24090 11679 1678
220 24310 24090 11973 1859
220 24310 24090 10629 1708
220 24310 24090 12431 1602
220 24310 24090 12743 1757
220 24310 24090 11752 1624
220 24310 24090 10914 1747
220 24310 24090 13179 1628
220 24310 24090 12316 1686
220 24310 24090 12065 1954
220 24310 24090 12105 1992
220 24310 24090 12393 2057
220 24310 24090 12307 1780
230 26565 26335 13185 1860
230 26565 26335 12848 1873
230 26565 26335 13719 1921
230 26565 26335 11822 1902
230 26565 26335 13413 2016
230 26565 26335 12743 1910
230 26565 26335 13278 1835
230 26565 26335 13587 1883
230 26565 26335 13735 1847
230 26565 26335 13784 1802
230 26565 26335 13019 1821
230 26565 26335 13778 1793
230 26565 26335 12729 1739
230 26565 26335 13186 1801
230 26565 26335 13015 1848
240 28920 28680 15366 2012
240 28920 28680 13978 2017
240 28920 28680 14747 1944
240 28920 28680 15252 1889
240 28920 28680 14295 2004
240 28920 28680 13768 2087
240 28920 28680 15001 1700
240 28920 28680 14788 1911
240 28920 28680 14652 2132
240 28920 28680 14919 1754
240 28920 28680 14686 2107
240 28920 28680 13480 1978
240 28920 28680 13015 1923
240 28920 28680 13749 1954
240 28920 28680 15021 1959
250 31375 31125 15589 1981
250 31375 31125 16537 1953
250 31375 31125 16060 1848
250 31375 31125 15933 1936
250 31375 31125 15347 2078
250 31375 31125 14978 1864
250 31375 31125 15610 2036
250 31375 31125 15067 2059
250 31375 31125 15134 2115
250 31375 31125 15070 1903
250 31375 31125 15551 2012
250 31375 31125 15846 2013
250 31375 31125 15346 1915
250 31375 31125 16708 2130
250 31375 31125 15206 1896
260 33930 33670 17162 2037
260 33930 33670 15705 2080
260 33930 33670 15521 2151
260 33930 33670 16338 2117
260 33930 33670 17635 2171
260 33930 33670 16703 2023
260 33930 33670 17471 1942
260 33930 33670 16282 2101
260 33930 33670 16181 2238
260 33930 33670 17006 1949
260 33930 33670 17041 2043
260 33930 33670 16627 2220
260 33930 33670 17693 2211
260 33930 33670 15915 2681
260 33930 33670 17055 2058
270 36585 36315 18334 2651
270 36585 36315 18052 2263
270 36585 36315 17617 2311
270 36585 36315 18504 1969
270 36585 36315 17980 2096
270 36585 36315 18315 2225
270 36585 36315 17767 2129
270 36585 36315 17945 2082
270 36585 36315 18407 2150
270 36585 36315 18664 2368
270 36585 36315 18152 2282
270 36585 36315 19318 2375
270 36585 36315 18109 2172
270 36585 36315 18127 2412
270 36585 36315 17873 2545
280 39340 39060 18913 2194
280 39340 39060 18659 2564
280 39340 39060 19727 2498
280 39340 39060 18586 2462
280 39340 39060 19566 2456
280 39340 39060 19993 2359
280 39340 39060 19196 2499
280 39340 39060 19227 2497
280 39340 39060 19284 2404
280 39340 39060 19677 2435
280 39340 39060 20472 2417
280 39340 39060 19030 2405
280 39340 39060 19272 2133
280 39340 39060 19651 2402
280 39340 39060 18833 2387
290 42195 41905 21395 2560
290 42195 41905 20823 2438
290 42195 41905 20865 2349
290 42195 41905 20577 2355
290 42195 41905 22115 2588
290 42195 41905 20562 2376
290 42195 41905 20951 2311
290 42195 41905 20708 2390
290 42195 41905 20223 2459
290 42195 41905 20603 2334
290 42195 41905 21771 2760
290 42195 41905 20918 2566
290 42195 41905 21700 2687
290 42195 41905 20194 2492
290 42195 41905 19831 2502
300 45150 44850 23868 2505
300 45150 44850 21939 2660
300 45150 44850 22253 2375
300 45150 44850 22203 2477
300 45150 44850 23226 2249
300 45150 44850 22815 2547
300 45150 44850 22641 2915
300 45150 44850 21614 2268
300 45150 44850 21477 2571
300 45150 44850 24458 2442
300 45150 44850 22450 2865
300 45150 44850 22891 2694
300 45150 44850 21814 3001
